,molecule_chembl_id,IC50,smiles,pIC50
117,CHEMBL75529,0.86,O=CN(O)C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)CS(=O)(=O)N1CCOCC1,9.065501548756432
118,CHEMBL408366,0.87,COc1ccc(Oc2ccc(S(=O)(=O)N(C)c3cccn(O)c3=O)cc2)cc1,9.060480747381382
119,CHEMBL254506,0.89,Cc1ccc(Oc2ccc(N(C[C@H](Nc3cccc(F)c3)C(=O)NO)S(C)(=O)=O)cc2)cc1,9.050609993355087
120,CHEMBL5289570,0.9,COc1ccc(S(=O)(=O)N2CC(C)(C)C(CCSCc3ccccc3)C2C(=O)NO)cc1,9.045757490560675
121,CHEMBL104021,0.9,COc1ccc(S(=O)(=O)N(CC(C)C)C(CCS(=O)(=O)Cc2ccccc2)C(=O)NO)cc1,9.045757490560675
122,CHEMBL102415,0.9,COc1ccc(S(=O)(=O)N2CC(C)(C)C(CSCc3ccccc3)[C@@H]2C(=O)NO)cc1,9.045757490560675
123,CHEMBL2064550,0.9,COc1ccc(S(=O)(=O)N(Cc2cn(CCOCCOCCOCCN=[N+]=[N-])nn2)[C@@H](C(=O)NO)C(C)C)cc1,9.045757490560675
124,CHEMBL125598,0.9,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(-c4ccccc4)cc3)CC2C(=O)NO)cc1,9.045757490560675
125,CHEMBL75567,0.9,CN(C)CC(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,9.045757490560675
126,CHEMBL19932,0.9,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](C)C(=O)NO)C1CCCCC1,9.045757490560675
127,CHEMBL73866,0.9,COCC(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,9.045757490560675
128,CHEMBL420657,0.9,COc1ccc(S(=O)(=O)N2CC(C)(C)C([C@H](O)CSc3ccccc3)[C@@H]2C(=O)NO)cc1,9.045757490560675
129,CHEMBL141080,0.9,COc1ccc(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)NO)cc1,9.045757490560675
130,CHEMBL4088630,0.9,COc1ccc(S(=O)(=O)N2CCSC(C)(C)C2C(=O)NO)cc1,9.045757490560675
131,CHEMBL75487,0.91,CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(-c3cccc(CC#N)c3)cc2)N(O)C=O)C1=O,9.040958607678906
132,CHEMBL4444377,0.91,O=C(NO)[C@H]1CCCC1S(=O)(=O)c1ccc(C#Cc2ccccc2)cc1,9.040958607678906
133,CHEMBL209165,0.96,CSc1ccc(-c2ccc(S(=O)(=O)C(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,9.017728766960431
134,CHEMBL75302,0.96,CC1(C)NC(=O)N(CC(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)N(O)C=O)C1=O,9.017728766960431
135,CHEMBL78213,0.98,COC(=O)c1ccc(CCC(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)cc1,9.008773924307505
136,CHEMBL78549,1.0,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.0
137,CHEMBL304730,1.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cc(-c3cccc(C(F)(F)F)c3)cc2C(=O)NO)cc1,9.0
138,CHEMBL319341,1.0,CN1CCN(Cc2cccc(C(=O)NO)c2N(C)S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.0
139,CHEMBL79433,1.0,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,9.0
140,CHEMBL100512,1.0,COc1ccc(S(=O)(=O)N(C)c2c(CN3CCN(C)CC3)cccc2C(=O)NO)cc1,9.0
141,CHEMBL415482,1.0,COc1ccc(S(=O)(=O)N2CCN(Cc3ccccc3)C(=O)C[C@@H]2C(=O)NO)cc1,9.0
142,CHEMBL2203634,1.0,CCCCCCCCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,9.0
143,CHEMBL93320,1.0,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)C(S)CCCC(=O)OC,9.0
144,CHEMBL95807,1.0,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)c3cccs3)CC2C(=O)NO)cc1,9.0
145,CHEMBL370685,1.0,CC(C)N1CCN(C2(c3ccc(Oc4ccc(Br)cc4)cc3)C(=O)NC(=O)NC2=O)CC1,9.0
146,CHEMBL1916201,1.0,COc1ccc(Oc2ccc(S(=O)(=O)N[C@@H]3CC=CCN(O)C3=O)cc2)cc1,9.0
147,CHEMBL311357,1.0,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.0
148,CHEMBL320442,1.0,COc1ccc(S(=O)(=O)N(CC(C)C)C(CCSCc2ccsc2)C(=O)NO)cc1,9.0
149,CHEMBL287871,1.0,CN(c1c(C(=O)NO)cnc2ccccc12)S(=O)(=O)c1ccc(Oc2ccncc2)cc1,9.0
150,CHEMBL78909,1.0,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1,9.0
151,CHEMBL286848,1.0,Cc1nn(C)c2ncc(C(=O)NO)c(N(C)S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)c12,9.0
152,CHEMBL323371,1.0,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,9.0
153,CHEMBL5269115,1.0,COc1ccc(S(=O)(=O)N(Cc2ccccn2)c2c(C)cc(-c3cccc(C(F)(F)F)c3)cc2C(=O)NO)cc1,9.0
