,molecule_chembl_id,IC50,smiles,pIC50,molecular_weight,heavy_atoms,rotatable_bonds,n_hba,n_hbd,logp,reos_fulfilled
553,CHEMBL2063432,8.1,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCN(CCO)CC2)C(=O)N1,8.09151498112135,424.174669868,31,6,7,3,0.6500999999999996,True
554,CHEMBL2336352,8.13,O=C(/C=C/c1ccccc1)NCc1ccccc1,8.089909454405932,237.1153641,18,4,1,1,3.0162000000000013,True
555,CHEMBL1305393,8.19,O=C(/C=C/c1ccccc1)NCCc1ccccc1,8.086716098239581,251.131014164,19,5,1,1,3.0587000000000018,True
556,CHEMBL1163867,8.19,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccccc1Cl,8.086716098239581,289.050570924,20,3,3,3,3.403100000000001,True
557,CHEMBL296327,8.2,COc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,8.086186147616283,474.12494280399994,34,7,4,3,3.5505000000000013,True
558,CHEMBL2336336,8.22,O=C(/C=C/c1cccc(O)c1)Nc1ccc(Cl)cc1,8.08512818245995,273.05565630399997,19,3,2,2,3.6975000000000016,True
559,CHEMBL5287803,8.24,O=C1NC(=O)C(O)(CC(=O)c2ccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)cc2)C(=O)N1,8.084072788302883,485.050455448,33,6,7,4,1.1761,True
561,CHEMBL3585773,8.3,C=C(F)C[C@H](C(=O)NO)N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,8.080921907623926,409.1107699599999,28,9,6,2,2.0284,True
562,CHEMBL125384,8.3,COc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCOCC3)CC2C(=O)NO)cc1,8.080921907623926,428.13657010799994,29,4,7,2,-0.6722999999999972,True
563,CHEMBL2336789,8.32,O=C(/C=C/c1cccc(O)c1)Nc1ccccc1Cl,8.079876673709276,273.05565630399997,19,3,2,2,3.6975000000000016,True
